"disasterNumber","state","county","city","zipCode","validRegistrations","averageFemaInspectedDamage","totalInspected","totalDamage","noFemaInspectedDamage","femaInspectedDamageBetween1And10000","femaInspectedDamageBetween10001And20000","femaInspectedDamageBetween20001And30000","femaInspectedDamageGreaterThan30000","approvedForFemaAssistance","totalApprovedIhpAmount","repairReplaceAmount","rentalAmount","otherNeedsAmount","approvedBetween1And10000","approvedBetween10001And25000","approvedBetween25001AndMax","totalMaxGrants","id"
1439,"TX","Cameron (County)","LOZANO","78568",2,1208.43,2,2416.85,0,2,0,0,0,2,3919.85,2416.85,1503,0,2,0,0,0,"9ca1559f-580b-4fb6-aafe-b25a0f65d1d0"
1439,"TX","Cameron (County)","OLMITO","78575",1,2231.35,1,2231.35,0,1,0,0,0,1,3487.35,2054.54,1256,176.81,0,1,0,0,"9c061122-bd03-4c66-8225-ea1567b09e7d"
1439,"TX","Cameron (County)","PORT ISABEL","78578",13,4416.45,13,57413.84,2,9,2,0,0,10,44979.92,27178.72,8090,9711.2,4,4,2,0,"32ae1c69-9235-42fa-bb40-da6faa2bdd3c"
1439,"TX","Cameron (County)","PROGRESO","78579",1,1702.91,1,1702.91,0,1,0,0,0,1,1702.91,1526.1,0,176.81,1,0,0,0,"d1b0c87c-709b-4250-9915-836d8fcfdde0"
1439,"TX","Cameron (County)","RIO HONDO","78583",16,2716.68,16,43466.81,1,15,0,0,0,15,43796.2,25828.43,4172,13795.77,12,2,1,0,"d0f281ef-60c9-45d0-af43-a90503ebb59b"
1439,"TX","Cameron (County)","SAN BENITO","78586",133,3021.18,123,401817.23,4,116,3,0,0,117,368189.99,233032.94,46241,88916.05,71,43,3,0,"4df54f50-40ae-404d-957e-949113c42343"
1439,"TX","Cameron (County)","SAN PEDRO","78520",1,1666.41,1,1666.41,0,1,0,0,0,1,1666.41,1666.41,0,0,1,0,0,0,"fc296e79-ab25-41b5-918f-4be9f56f9dc2"
1439,"TX","Cameron (County)","SANTA MARIA","78592",62,2316.58,58,143627.97,1,56,1,0,0,56,130148.24,88839.02,4410,36899.22,43,13,0,0,"9facb5ee-e8f3-431b-a31e-887d97a55909"
1439,"TX","Cameron (County)","SANTA ROSA","78593",17,2512.07,16,42705.23,0,16,0,0,0,16,37275.26,25277.29,3060,8937.97,13,3,0,0,"f7c6a223-8de8-4fb5-9296-34ebe55b5ed3"
1439,"TX","Fort Bend (County)","BROOKSHIRE","77423",1,14551.04,1,14551.04,0,0,1,0,0,1,2454,0,2454,0,1,0,0,0,"c837a0d4-4f85-4055-90a9-89fbbd387d7f"
1439,"TX","Fort Bend (County)","FRESNO","77545",1,19069.4,1,19069.4,0,0,1,0,0,1,16211.21,5000,2822,8389.21,0,0,1,0,"48329b68-9b92-4a52-8e1a-e3017e1deb9a"
1439,"TX","Fort Bend (County)","FULSHEAR","77441",19,1317.82,19,25038.64,1,18,0,0,0,17,50076.13,15742.89,4144,30189.24,11,6,0,0,"0ae2f520-4deb-400f-bb0d-a9fdc8d9a7ae"
1439,"TX","Fort Bend (County)","MISSOURI CITY","77489",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fe5cfae8-92ae-4e20-aad8-11dc869fd206"
1439,"TX","Fort Bend (County)","NEEDVILLE","77461",2,4201.55,2,8403.1,0,2,0,0,0,2,5235.6,5235.6,0,0,1,1,0,0,"dc98bb6c-f886-4de6-ac87-0c2aac69c331"
1439,"TX","Fort Bend (County)","SIMONTON","77476",8,389.99,6,3119.95,1,5,0,0,0,5,7432.29,1352.18,0,6080.11,4,1,0,0,"cd284471-3bc9-4cf4-8179-c2985dade6b6"
1439,"TX","Fort Bend (County)","STAFFORD","77477",3,3434.15,2,10302.45,0,2,0,0,0,2,9907.54,5704.24,2454,1749.3,1,0,1,0,"e561f3bf-60a6-471a-b152-1d14f85d660e"
1439,"TX","Fort Bend (County)","WALLIS","77485",3,19962.2,3,59886.61,1,1,0,0,1,2,24553.66,11540.45,2312,10701.21,1,0,1,0,"e105fb7c-f020-4e13-8502-31a10a8ada98"
1439,"TX","Hardin (County)","BATSON","77519",2,3260.21,2,6520.41,0,2,0,0,0,2,9723.72,6487.27,1020,2216.45,1,1,0,0,"180c0c22-b6f2-491a-bf0f-ad09c97edeec"
1439,"TX","Hardin (County)","KOUNTZE","77625",30,1930.86,27,57925.67,4,22,1,0,0,23,69614.8,29066.24,10792,29756.56,15,6,2,0,"d137cb32-3dec-45d5-8a5b-05d3ee72d770"
1439,"TX","Hardin (County)","LUMBERTON","77657",27,2682.61,19,72430.38,0,18,1,0,0,13,53053.23,34307.97,9861,8884.26,6,7,0,0,"b3dde2c6-6a61-4d85-9737-bb88811c43f8"
1439,"TX","Hardin (County)","SARATOGA","77585",1,2454.48,1,2454.48,0,1,0,0,0,1,3292.48,2097.86,838,356.62,1,0,0,0,"33cbe539-807b-4d57-90b6-085d4071e5a5"
1439,"TX","Hardin (County)","SILSBEE","77656",112,1447.49,99,162118.51,11,87,1,0,0,80,156621.58,89906.71,33593,33121.87,65,13,2,0,"e69354e7-ad64-4527-b593-4c841017b807"
1439,"TX","Hardin (County)","SOUR LAKE","77659",3,432.21,3,1296.63,1,2,0,0,0,3,2954.7,466.08,1676,812.62,3,0,0,0,"85144c68-7bc4-47f3-8396-c552445d36c2"
1439,"TX","Hardin (County)","VILLAGE MILLS","77663",1,396,1,396,0,1,0,0,0,1,396,396,0,0,1,0,0,0,"d8de739b-7787-4170-aa40-6fcf60f60f4f"
1439,"TX","Hardin (County)","VOTAW","77376",3,2592.72,3,7778.16,0,3,0,0,0,3,8064.22,4476.22,2188,1400,2,1,0,0,"26b1101f-18e2-41a9-819c-f44ab2877212"
1439,"TX","Harris (County)","BAYTOWN","77520",4,4570.17,4,18280.69,0,4,0,0,0,3,19417.21,11132.46,1494,6790.75,1,1,1,0,"b71e8a40-86d7-405c-8b14-04ce7ba96366"
1439,"TX","Harris (County)","CHANNELVIEW","77530",9,2974.34,7,26769.04,2,3,2,0,0,4,26542.16,15270.24,5072,6199.92,1,1,2,0,"71af6d11-0e54-4aa6-92a4-df5af551cf86"
1439,"TX","Harris (County)","CROSBY","77532",7,5235.56,6,36648.89,1,3,2,0,0,4,17074.16,11070.47,3228,1809.69,1,3,0,0,"098918a9-382e-4f80-9a15-13687082dc5c"
1439,"TX","Harris (County)","CYPRESS","77433",1,4287.56,1,4287.56,0,1,0,0,0,1,1702.25,1591.52,0,110.73,1,0,0,0,"ed2714b6-a1cf-468f-a83f-c1a1d972cebf"
1439,"TX","Harris (County)","DEER PARK","77536",1,1727.41,1,1727.41,0,1,0,0,0,1,1727.41,527.19,0,1200.22,1,0,0,0,"61f75c89-1d43-4946-bc93-b6847d7f461a"
1439,"TX","Harris (County)","FRIENDSWOOD","77546",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5ba7173b-69cd-4482-a44d-1e0759b8b50c"
1439,"TX","Harris (County)","GALENA PARK","77547",1,6792.08,1,6792.08,0,1,0,0,0,1,9231.37,2907.11,2084,4240.26,0,0,1,0,"ba2da788-3849-461f-8a48-f5098597972a"
1439,"TX","Harris (County)","HIGHLANDS","77562",1,11385.14,1,11385.14,0,0,1,0,0,1,17419.39,4218.71,1156,12044.68,0,0,1,0,"7a107336-ad9d-43c7-b39d-bb59c98c7718"
1439,"TX","Harris (County)","HOCKLEY","77447",1,17713.35,1,17713.35,0,0,1,0,0,1,13754.7,5000,1156,7598.7,0,0,1,0,"3ef101f7-7ba9-4daf-8874-5085ef808d2d"
1439,"TX","Harris (County)","HOUSTON","77003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37cfd7f6-f581-4d4b-8f3c-d0a17d6bd562"
1439,"TX","Harris (County)","HOUSTON","77004",2,1213.43,2,2426.85,0,2,0,0,0,1,545.3,545.3,0,0,1,0,0,0,"22345932-191b-47d9-bd88-56d2ac71164b"
1439,"TX","Harris (County)","HOUSTON","77005",1,5127.72,1,5127.72,0,1,0,0,0,1,6406.47,2361.05,1494,2551.42,0,1,0,0,"87963b5f-152c-40df-804c-b78239b42859"
1439,"TX","Harris (County)","HOUSTON","77006",1,16846.3,1,16846.3,0,0,1,0,0,1,2845.47,761.47,2084,0,1,0,0,0,"47558a87-cd83-49fa-8d7d-0c2bedd02f76"
1439,"TX","Harris (County)","HOUSTON","77007",3,3535.56,3,10606.67,0,3,0,0,0,3,13846.67,2815.16,3240,7791.51,1,1,1,0,"c28ade3d-99e7-412b-9333-e463d8db1dea"
1439,"TX","Harris (County)","HOUSTON","77009",2,9918.08,2,19836.15,0,1,1,0,0,2,21920.14,8447.12,2084,11389.02,0,1,1,0,"b85f8a87-f6a1-437e-b17c-d4fe73a16038"
1439,"TX","Harris (County)","HOUSTON","77011",1,8125.07,1,8125.07,0,1,0,0,0,1,6050.61,1884.7,1156,3009.91,0,1,0,0,"5c006bfd-0d84-419c-9b6a-04560bc7dd56"
1439,"TX","Harris (County)","HOUSTON","77012",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6cab5a72-0756-4f2f-a56b-cb39508f65af"
1439,"TX","Harris (County)","HOUSTON","77013",3,2368.28,3,7104.85,0,3,0,0,0,3,5839.67,2827.67,2084,928,2,1,0,0,"a00bb721-01fa-458a-968e-4b9e1ab58ffb"
1439,"TX","Harris (County)","HOUSTON","77014",2,2379.3,2,4758.6,0,2,0,0,0,2,8534.1,4366.1,4168,0,1,1,0,0,"ec27f822-2925-4bab-bda5-c451537b49cf"
1439,"TX","Harris (County)","HOUSTON","77015",11,8160.12,11,89761.31,1,5,5,0,0,11,95678.04,30772.02,7408,57498.02,2,4,5,0,"6cfb0075-6d19-4053-8693-fb0e65f4ef09"
1439,"TX","Harris (County)","HOUSTON","77016",20,1352.31,13,27046.17,2,11,0,0,0,11,37090.59,18735.41,10648,7707.18,5,6,0,0,"95690329-2d71-408f-8062-309327e94610"
1439,"TX","Harris (County)","HOUSTON","77017",6,5767.96,4,34607.75,0,3,0,1,0,4,15277.46,13193.46,2084,0,2,2,0,0,"c62ad802-dba3-4e49-8738-ed81d8560cd2"
1439,"TX","Harris (County)","HOUSTON","77018",7,9145.87,5,64021.09,0,1,4,0,0,5,45928.29,20000,5442,18947.72,1,2,2,0,"f2602acd-9304-4c39-86dd-8732460fd964"
1439,"TX","Harris (County)","HOUSTON","77019",1,303.74,1,303.74,0,1,0,0,0,1,1797.74,303.74,1494,0,1,0,0,0,"3a5700e7-c833-4ed7-966d-3187809b55f1"
1439,"TX","Harris (County)","HOUSTON","77020",8,2186.07,8,17488.52,0,8,0,0,0,7,22407.16,9074.77,7156,6176.39,4,2,1,0,"ddd4caff-4e89-4191-bbf9-9d45b20e7bc7"
1439,"TX","Harris (County)","HOUSTON","77021",6,1114.06,5,6684.36,1,4,0,0,0,4,8178.36,3643.86,1494,3040.5,3,1,0,0,"cdf211a6-827a-4ef1-89a1-8e61e4f47efb"
1439,"TX","Harris (County)","HOUSTON","77022",5,1414.47,4,7072.37,1,3,0,0,0,3,8945.23,2467.74,1156,5321.49,2,1,0,0,"d656d828-d03b-434a-b5c2-842193aed4a4"
1439,"TX","Harris (County)","HOUSTON","77023",5,3213.55,5,16067.74,2,3,0,0,0,2,9294.08,1775.36,1494,6024.72,1,1,0,0,"6b4a153c-b5f0-4a3b-8069-dc0c392bd4b2"
1439,"TX","Harris (County)","HOUSTON","77026",16,4786.38,16,76582.1,2,11,3,0,0,14,80924.15,27412.36,18331,35180.79,6,4,4,0,"98bdedd3-883e-4686-a239-b07882ff1315"
1439,"TX","Harris (County)","HOUSTON","77028",14,5931.61,11,83042.48,0,8,2,1,0,10,85745.81,31533.36,11780,42432.45,1,5,4,0,"278a42b9-6904-41fb-908f-5fccc6526863"
1439,"TX","Harris (County)","HOUSTON","77029",7,1974.1,6,13818.72,1,5,0,0,0,4,19532.31,9330.78,5072,5129.53,1,2,1,0,"1020369e-19a2-4dd9-8efa-aa865a07a065"
1439,"TX","Harris (County)","HOUSTON","77032",118,7987.68,115,942546.16,4,77,22,11,1,87,503376.74,231954.08,88204,183218.66,27,42,18,0,"dd02702f-d99a-4884-bae7-5c670d929881"
1439,"TX","Harris (County)","HOUSTON","77033",10,1652.73,9,16527.33,1,8,0,0,0,9,20498.64,7356.33,4144,8998.31,7,2,0,0,"aa4d40e3-4ce5-44fa-9fff-09308e555110"
1439,"TX","Harris (County)","HOUSTON","77034",2,1359.52,2,2719.03,0,2,0,0,0,1,6484.52,1309.44,2084,3091.08,0,1,0,0,"27948ad6-8f48-4233-ae2f-4660604888ab"
1439,"TX","Harris (County)","HOUSTON","77036",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fa438848-1f29-4977-b96a-25fee504fb11"
1439,"TX","Harris (County)","HOUSTON","77037",79,7828.27,76,618433.07,6,43,20,7,0,67,393638.02,116771.99,93438,182079.23,30,20,17,1,"a1fb0e34-2419-4768-bd6e-777974cc7fe7"
1439,"TX","Harris (County)","HOUSTON","77038",76,9577.9,70,727920.68,5,34,23,7,1,65,442614.17,185576.69,68900,188137.48,22,26,17,0,"70b6e343-a6df-4146-b360-2fb8fbd25b73"
1439,"TX","Harris (County)","HOUSTON","77039",40,6332.23,37,253289.23,7,17,12,1,0,30,183280.04,41723.8,39036,102520.24,14,8,8,0,"6e19048d-43c0-4ba0-ad9f-64529a245626"
1439,"TX","Harris (County)","HOUSTON","77040",136,9220.94,132,1254047.82,3,68,57,4,0,112,311716.35,75640.96,186343.63,47102.41,89,19,4,0,"ba9bd097-159a-496f-bce0-338401edfb35"
1439,"TX","Harris (County)","HOUSTON","77041",13,5022.67,12,65294.73,0,10,2,0,0,10,67542.14,37034.22,8949,21558.92,2,4,4,0,"0ecc473a-1972-4231-b4b7-60cf6366fcfd"
1439,"TX","Harris (County)","HOUSTON","77042",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"779a54a2-7765-4afa-a93a-b87ccb789339"
1439,"TX","Harris (County)","HOUSTON","77043",4,9440.92,4,37763.66,0,2,2,0,0,4,20524.73,11730.51,5694,3100.22,1,3,0,0,"f1f68c1f-dd07-4bf7-a6e1-e94fdd71d793"
1439,"TX","Harris (County)","HOUSTON","77044",16,9596.3,16,153540.82,3,7,2,3,1,13,79623.66,32407.27,7046,40170.39,5,5,3,0,"85a829e2-a1df-4020-b75e-261ddbbdd764"
1439,"TX","Harris (County)","HOUSTON","77045",1,2428.45,1,2428.45,0,1,0,0,0,1,2008.45,2008.45,0,0,1,0,0,0,"7fc94822-b050-4413-be3d-29f6db55a0cf"
1439,"TX","Harris (County)","HOUSTON","77047",6,1205.23,6,7231.36,2,4,0,0,0,4,12695.24,7033.24,5662,0,2,2,0,0,"ba8b4921-b1f6-41a5-9c2f-ec56388d4683"
1439,"TX","Harris (County)","HOUSTON","77048",6,4517.36,5,27104.18,2,2,1,0,0,2,9063.92,4488.95,2084,2490.97,1,1,0,0,"ecf60a9d-a278-4ffc-8708-e0a6463fe6be"
1439,"TX","Harris (County)","HOUSTON","77049",4,4225.58,3,16902.31,0,2,1,0,0,3,15710.71,7456.58,2084,6170.13,1,1,1,0,"f4291a9d-eab7-47b6-9271-318aaaf0b912"
1439,"TX","Harris (County)","HOUSTON","77050",5,5796.72,5,28983.6,0,4,1,0,0,5,19925.28,9560.57,7188,3176.71,2,3,0,0,"c3eb1aa8-cf65-4eac-aa74-73bb093d34c4"
1439,"TX","Harris (County)","HOUSTON","77051",5,1204.03,4,6020.13,1,3,0,0,0,3,8332.13,5173.3,2312,846.83,2,1,0,0,"bc51e499-df6d-42f3-a819-97ca33d92718"
1439,"TX","Harris (County)","HOUSTON","77053",2,2816.59,2,5633.17,0,2,0,0,0,2,8455.16,1115.55,2822,4517.61,1,1,0,0,"191d2451-85dc-4baf-addd-c9d69d7b1bea"
1439,"TX","Harris (County)","HOUSTON","77054",1,361.2,1,361.2,0,1,0,0,0,1,361.2,361.2,0,0,1,0,0,0,"ba800ec1-5ec3-4875-aa7b-882323d5f54f"
1439,"TX","Harris (County)","HOUSTON","77055",6,1659.72,5,9958.32,1,4,0,0,0,4,11178.88,8697.64,1494,987.24,3,1,0,0,"739c6748-4a63-49f5-a10d-a52c654d95ca"
1439,"TX","Harris (County)","HOUSTON","77060",51,7247.99,47,369647.68,8,22,13,3,1,40,213964.49,54247.77,66784.69,90781.98,22,8,10,0,"5b182199-92a3-4316-b24e-e8a4e4211d34"
1439,"TX","Harris (County)","HOUSTON","77063",1,166.87,1,166.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"92aee73e-e74b-47e6-813b-5ba663baf2e9"
1439,"TX","Harris (County)","HOUSTON","77064",6,1975.04,4,11850.21,1,3,0,0,0,3,9878.9,6300.9,3578,0,1,2,0,0,"345b2827-a28d-4734-9e33-3b71d8a9aee7"
1439,"TX","Harris (County)","HOUSTON","77065",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"77c1bdae-b8eb-443c-b070-040774d57dc0"
1439,"TX","Harris (County)","HOUSTON","77066",13,3402.88,13,44237.5,4,7,2,0,0,10,42014.86,9029.85,6252,26733.01,6,3,1,0,"696599b1-12b4-40c1-b820-ed7aa66e9ee5"
1439,"TX","Harris (County)","HOUSTON","77067",38,5027.69,33,191052.34,3,24,6,0,0,29,134374.35,58993.49,15134,60246.86,12,12,5,0,"e1344c47-84b8-49ec-959b-a79a89a6ed18"
1439,"TX","Harris (County)","HOUSTON","77068",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"06de1f24-74ca-43f6-991a-2094f39f5c54"
1439,"TX","Harris (County)","HOUSTON","77072",3,4111.11,3,12333.32,0,3,0,0,0,3,7430.56,4645.81,1494,1290.75,2,1,0,0,"50614829-e3a4-440e-b731-8f6c45534624"
1439,"TX","Harris (County)","HOUSTON","77073",3,127.94,2,383.81,1,1,0,0,0,1,2467.81,383.81,2084,0,1,0,0,0,"cc556d03-9e81-4132-a742-d3b51ab048e1"
1439,"TX","Harris (County)","HOUSTON","77074",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"69b50ad4-f9ed-4c31-9da0-e257c7630ab6"
1439,"TX","Harris (County)","HOUSTON","77075",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c4b3e6e5-1a9e-4844-8875-356582875fff"
1439,"TX","Harris (County)","HOUSTON","77076",14,3252.82,11,45539.5,2,8,0,1,0,8,51221.16,16145.03,12850,22226.13,2,4,2,0,"5c29e0f7-1854-430e-90fb-09b0e4cd1a20"
1439,"TX","Harris (County)","HOUSTON","77077",4,2390.52,4,9562.07,0,4,0,0,0,4,15137.46,8827.46,5810,500,1,3,0,0,"eb044ad8-69f0-4ad8-a2a9-f56ad40c84ff"
1439,"TX","Harris (County)","HOUSTON","77078",7,1840.49,5,12883.41,2,3,0,0,0,3,16004.05,6866.09,5694,3443.96,1,1,1,0,"9311d39c-85cb-48ea-9fe1-ce904c79d658"
1439,"TX","Harris (County)","HOUSTON","77079",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3089ea9c-249f-43fe-b9a1-c647ab7253ab"
1439,"TX","Harris (County)","HOUSTON","77080",7,2391.46,6,16740.2,0,6,0,0,0,5,14916.93,6124.96,5072,3719.97,4,1,0,0,"445aee4d-5a1f-4048-8919-6712c2d595f7"
1439,"TX","Harris (County)","HOUSTON","77082",3,1786.53,3,5359.58,0,3,0,0,0,1,1110.86,1110.86,0,0,1,0,0,0,"f3da73d8-6a69-46ae-a427-f74a3d46bb06"
1439,"TX","Harris (County)","HOUSTON","77083",1,337.24,1,337.24,0,1,0,0,0,1,2494.54,342.04,0,2152.5,1,0,0,0,"0b039bb5-218f-44ba-bccd-5f39e9823e92"
