"disasterNumber","state","county","city","zipCode","validRegistrations","totalInspected","totalInspectedWithNoDamage","totalWithModerateDamage","totalWithMajorDamage","totalWithSubstantialDamage","approvedForFemaAssistance","totalApprovedIhpAmount","repairReplaceAmount","rentalAmount","otherNeedsAmount","approvedBetween1And10000","approvedBetween10001And25000","approvedBetween25001AndMax","totalMaxGrants","id"
1439,"TX","Harris (County)","HOUSTON","77067",46,32,46,0,0,0,24,79144.5,0,14285,64859.5,23,1,0,0,"85765ac2-2dd1-4a3d-b5d4-d2f7ecdff946"
1439,"TX","Harris (County)","HOUSTON","77071",2,2,2,0,0,0,2,3240,0,3240,0,2,0,0,0,"a0340946-12dc-4c14-878c-0e0539b1f1b6"
1439,"TX","Harris (County)","HOUSTON","77072",2,1,2,0,0,0,1,1200.22,0,0,1200.22,1,0,0,0,"3094bff0-8d57-40d0-929e-8571580bc30f"
1439,"TX","Harris (County)","HOUSTON","77073",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"ef4e920c-57b1-4036-a6d8-6a8f2afa4fdf"
1439,"TX","Harris (County)","HOUSTON","77074",1,1,1,0,0,0,1,4027.52,0,1494,2533.52,1,0,0,0,"388ce090-d9b8-48db-840a-f795874c67e3"
1439,"TX","Harris (County)","HOUSTON","77075",1,1,1,0,0,0,1,2685,0,0,2685,1,0,0,0,"7abae4b0-9c88-4abf-8472-9d557100d523"
1439,"TX","Harris (County)","HOUSTON","77076",11,10,11,0,0,0,7,29743.13,0,4156,25587.13,6,1,0,0,"95c2d6a4-9a34-4654-ac63-bf51e0cb0356"
1439,"TX","Harris (County)","HOUSTON","77077",2,1,2,0,0,0,1,8098.96,0,2084,6014.96,1,0,0,0,"db170931-809c-43a2-be9d-ef7f70e5fd8a"
1439,"TX","Harris (County)","HOUSTON","77078",5,5,5,0,0,0,3,8670.05,0,2988,5682.05,3,0,0,0,"beebd7f4-92b5-4d2b-a71d-e26fd6574959"
1439,"TX","Harris (County)","HOUSTON","77079",1,1,1,0,0,0,1,2807.06,0,0,2807.06,1,0,0,0,"12b39626-f795-4d01-bf45-c5f5a9c3ce19"
1439,"TX","Harris (County)","HOUSTON","77080",2,2,2,0,0,0,2,7050.49,0,2084,4966.49,2,0,0,0,"ac124fd4-e628-4d35-9fb9-134f120dc50e"
1439,"TX","Harris (County)","HOUSTON","77081",1,1,1,0,0,0,1,1614.55,0,1156,458.55,1,0,0,0,"b6771838-5126-431b-a207-0db00a14dcf8"
1439,"TX","Harris (County)","HOUSTON","77082",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1582ba4e-f666-4ec2-afa1-29f658dc8ee6"
1439,"TX","Harris (County)","HOUSTON","77083",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"7d4abe9d-a1b6-4e81-9f38-e3a99f1a5fc2"
1439,"TX","Harris (County)","HOUSTON","77084",5,4,5,0,0,0,3,17448.5,0,2084,15364.5,3,0,0,0,"805b8ecf-468f-4eef-8bd9-41cbf7200a9d"
1439,"TX","Harris (County)","HOUSTON","77085",2,2,2,0,0,0,1,8778.65,0,1156,7622.65,1,0,0,0,"703d7a69-c66a-45d2-b522-5d8b5967c3ae"
1439,"TX","Harris (County)","HOUSTON","77086",17,15,17,0,0,0,13,33827.99,0,3468,30359.99,13,0,0,0,"3f3b26fa-f24a-47ca-bf6c-63e4b3dfc9dc"
1439,"TX","Harris (County)","HOUSTON","77087",3,2,3,0,0,0,2,13072.94,0,2084,10988.94,1,1,0,0,"401eb7bf-467f-4b7e-929a-2aaefd8abb46"
1439,"TX","Harris (County)","HOUSTON","77088",64,55,64,0,0,0,36,138919.74,0,22708,115521.74,34,2,0,0,"1e1ebf6f-a027-4630-8760-2058eb95a106"
1439,"TX","Harris (County)","HOUSTON","77089",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"44977cf8-e008-436d-885f-c8dca4bad85b"
1439,"TX","Harris (County)","HOUSTON","77090",8,4,8,0,0,0,1,7992.57,0,1494,6498.57,1,0,0,0,"2aae379e-07c7-489a-ba3f-09eebefcf137"
1439,"TX","Harris (County)","HOUSTON","77091",19,18,19,0,0,0,9,34075.84,0,6794,27281.84,9,0,0,0,"b91d4934-43a7-445e-bc53-db6d790bf0a3"
1439,"TX","Harris (County)","HOUSTON","77092",5,3,5,0,0,0,2,6019.76,0,2198,3821.76,2,0,0,0,"52148aa7-7f15-47d1-81d8-ea665b53f3f6"
1439,"TX","Harris (County)","HOUSTON","77093",20,19,20,0,0,0,17,129557.45,0,26144,103413.45,14,3,0,0,"1aed7611-445b-48f0-8cd4-574b96700a77"
1439,"TX","Harris (County)","HOUSTON","77095",4,2,4,0,0,0,2,11651.09,0,3126,8525.09,2,0,0,0,"61bb5fc9-e252-4784-88f0-baeadfaefc7d"
1439,"TX","Harris (County)","`","77099",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"7b100f76-381c-4298-b2fd-6f0e377ff82a"
1439,"TX","Harris (County)","HOUSTON","77099",6,4,6,0,0,0,4,10943.49,0,2312,8631.49,4,0,0,0,"38551984-bfd1-4f67-98c9-9512a30b4b82"
1439,"TX","Montgomery (County)","CONROE","77301",8,8,8,0,0,0,8,36558.92,0,9554,27004.92,7,1,0,0,"b9460151-eeb2-464c-bfe2-76d1d650dd9d"
1439,"TX","Montgomery (County)","CONROE","77302",25,24,25,0,0,0,20,83762.57,0,32582,49638.12,19,1,0,0,"b179d281-97cf-4c7b-b345-29c68c02f182"
1439,"TX","Montgomery (County)","CONROE","77304",5,5,5,0,0,0,5,22473.64,138.7,5694,16640.94,4,1,0,0,"83f54682-8997-438d-8dcd-92d40714b772"
1439,"TX","Montgomery (County)","CONROE","77306",2,2,2,0,0,0,2,3578,0,3578,0,2,0,0,0,"8acd4a96-aa26-4a02-987b-14f20e61c07f"
1439,"TX","Montgomery (County)","MONTGOMERY","77316",1,1,1,0,0,0,1,1494,0,1494,0,1,0,0,0,"ad544abd-63d9-4bed-981e-74855d7fa1eb"
1439,"TX","Montgomery (County)","WILLIS","77318",2,2,2,0,0,0,1,1156,0,1156,0,1,0,0,0,"ccf6521f-5837-4116-b933-953d26557581"
1439,"TX","Walker (County)","HUNTSVILLE","77320",11,10,11,0,0,0,8,9025.65,507.7,4950,3567.95,8,0,0,0,"f021daf9-a55a-419c-8dd8-8e4b161584b3"
1439,"TX","Liberty (County)","CLEVELAND","77327",10,10,10,0,0,0,9,17504.31,0,11552,5952.31,9,0,0,0,"26f1cbaa-76cb-4820-8458-dfeb67168bb7"
1439,"TX","San Jacinto (County)","CLEVELAND","77327",2,2,2,0,0,0,1,2220.16,0,824,1396.16,1,0,0,0,"70b5a683-c577-483f-9f3e-903759626b06"
1439,"TX","Liberty (County)","CLEVELAND","77328",1,1,1,0,0,0,1,3738.53,0,1156,2582.53,1,0,0,0,"9c2b0456-7679-44ed-9a3d-65dc1751ea36"
1439,"TX","San Jacinto (County)","CLEVELAND","77328",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"9f69e118-617c-4f1c-b848-5052e8f16238"
1439,"TX","San Jacinto (County)","COLDSPRING","77331",42,40,42,0,0,0,30,78735.81,0,20602,58133.81,30,0,0,0,"9e5e40d1-4e2c-4f9e-b18d-439e5ac096d9"
1439,"TX","Harris (County)","HUFFMAN","77336",2,2,2,0,0,0,1,2743.4,0,578,2165.4,1,0,0,0,"627fe55c-c940-4e9f-9c92-2300fc0eb62f"
1439,"TX","Harris (County)","HUMBLE","77338",21,17,21,0,0,0,6,42029.36,0,4168,37861.36,4,2,0,0,"82c17042-62ed-4fef-9fa9-697422e766d9"
1439,"TX","Harris (County)","HUMBLE","77339",6,5,6,0,0,0,1,9930.39,0,1042,8888.39,1,0,0,0,"a21efd0e-ee25-4fb0-8a26-f1fc51e40a73"
1439,"TX","Harris (County)","KINGWOOD","77339",1,1,1,0,0,0,1,578,0,578,0,1,0,0,0,"2ae40019-52a9-4ad1-ba8e-59ef50094aef"
1439,"TX","Walker (County)","HUNTSVILLE","77340",7,7,7,0,0,0,5,31630.15,0,2590,29040.15,4,1,0,0,"f31ccb81-bc3c-4437-a2fd-1e803137bfcf"
1439,"TX","Harris (County)","HUMBLE","77345",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"a4557f57-bbf5-4b7d-87ef-d29ed95e3046"
1439,"TX","Harris (County)","KINGWOOD","77345",1,1,1,0,0,0,1,6745.58,0,2084,4661.58,1,0,0,0,"de7d1a38-10ad-4264-8785-05e2079c9c3e"
1439,"TX","Harris (County)","HUMBLE","77346",1,1,1,0,0,0,1,10608.92,0,0,10608.92,0,1,0,0,"a35d8d3a-ec41-47c2-93a7-2392e41037f9"
1439,"TX","Montgomery (County)","MAGNOLIA","77354",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"426127d6-d123-4fd2-8e31-21ff72d3b847"
1439,"TX","Montgomery (County)","MONTGOMERY","77356",3,3,3,0,0,0,1,1156,0,1156,0,1,0,0,0,"b72858dd-d018-4c00-b398-32102ff4d982"
1439,"TX","Liberty (County)","DEVERS","77357",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"17eadb88-9306-49e2-bc9e-65cd1ae8d83d"
1439,"TX","Montgomery (County)","NEW CANEY","77357",3,3,3,0,0,0,3,17282.64,0,6797,10485.64,2,1,0,0,"a2614d3c-cb68-43f2-8b27-84d5d91b9969"
1439,"TX","San Jacinto (County)","NEW WAVERLY","77358",3,3,3,0,0,0,3,12143.31,0,1928,10215.31,3,0,0,0,"a8835e45-f4cf-4171-9a9e-74150af0c064"
1439,"TX","Walker (County)","NEW WAVERLY","77358",32,30,32,0,0,0,24,50963.98,0,19738,31225.98,23,1,0,0,"f46287be-d3dc-43a9-b242-ad106ba7346e"
1439,"TX","San Jacinto (County)","OAKHURST","77359",4,4,4,0,0,0,3,11002.63,0,2626,8376.63,3,0,0,0,"9ddb5d02-c201-4ce6-b43a-c8b77d058476"
1439,"TX","San Jacinto (County)","POINTBLANK","77364",17,17,17,0,0,0,7,14721.86,0,5138,9583.86,7,0,0,0,"361fe058-b03f-4529-8368-35b599b90396"
1439,"TX","San Jacinto (County)","POINT BLANK","77364",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"e3e2e126-d895-49ba-8c2a-459145cbbc80"
1439,"TX","Montgomery (County)","PORTER","77365",4,4,4,0,0,0,3,13626.02,0,4734,8892.02,2,1,0,0,"a82ad211-551c-446b-8b6f-b06a284374f7"
1439,"TX","Liberty (County)","ROMAYOR","77368",3,3,3,0,0,0,3,6752.85,0,3806,2946.85,3,0,0,0,"08407d82-2cfd-4486-82a9-772e37608ea1"
1439,"TX","San Jacinto (County)","SHEPHERD","77371",6,6,6,0,0,0,3,14894.28,0,2220,12674.28,3,0,0,0,"320d585f-db1b-4487-9752-e231a613371b"
1439,"TX","Montgomery (County)","SPLENDORA","77372",3,2,3,0,0,0,2,1100,0,0,1100,2,0,0,0,"4839775b-7493-48c2-928f-a3484882e2c7"
1439,"TX","Harris (County)","SPRING","77373",2,1,2,0,0,0,1,10358.02,0,2084,8274.02,0,1,0,0,"17e55fdb-98cf-441d-8d2c-33b77ffa833a"
1439,"TX","Harris (County)","TOMBALL","77375",5,4,5,0,0,0,2,4926.95,0,0,4926.95,2,0,0,0,"d166406e-b24a-4858-b175-50dd6efce18a"
1439,"TX","Harris (County)","TOMBALL","77377",1,1,1,0,0,0,1,11532,0,1494,10038,0,1,0,0,"31e854ec-c8e8-4f3b-8850-95f0a523b319"
1439,"TX","Montgomery (County)","WILLIS","77378",8,7,8,0,0,0,6,15716.16,0,10514,5202.16,6,0,0,0,"1ef68513-6007-4ab6-aae8-4cefa43fe4ad"
1439,"TX","San Jacinto (County)","WILLIS","77378",4,4,4,0,0,0,3,9132.32,0,2220,6912.32,3,0,0,0,"aa21aa8a-f0d6-43fb-8b60-4030e312508c"
1439,"TX","Montgomery (County)","CONROE","77385",6,6,6,0,0,0,4,33429.71,0,7746,25683.71,2,2,0,0,"88fb9f2b-001c-4b97-a73e-0a0f1dfb4e33"
1439,"TX","Harris (County)","HUMBLE","77396",11,9,11,0,0,0,5,30987.31,0,1494,29493.31,5,0,0,0,"63e1e099-7f4d-4d18-9d30-eb05ef4887d5"
1439,"TX","Nueces (County)","BELLAIRE","77401",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"43bd546b-9a2b-496e-81e3-62f83888dcd9"
1439,"TX","Brazoria (County)","BRAZORIA","77422",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"44902e9e-d367-4267-9575-9ca9ac5cacb7"
1439,"TX","Fort Bend (County)","FULSHEAR","77441",9,9,9,0,0,0,5,10883.09,0,6456,4427.09,5,0,0,0,"bf679317-b742-497b-9ed1-4beb4e8fde94"
1439,"TX","Harris (County)","KATY","77449",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"0ab69bc3-3341-494c-a8aa-12f24263a55a"
1439,"TX","Harris (County)","KATY","77450",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"48671569-7cfc-46f2-b35d-f90aad43d76f"
1439,"TX","Brazoria (County)","OLD OCEAN","77463",1,1,1,0,0,0,1,5729.5,0,1156,4573.5,1,0,0,0,"315cd362-54f9-4018-b79a-a059670c9c26"
1439,"TX","Fort Bend (County)","RICHMOND","77469",3,3,3,0,0,0,2,5613.62,0,0,5613.62,2,0,0,0,"7fffbc1f-800a-464a-8f4b-e4b17a8e8aed"
1439,"TX","Fort Bend (County)","ROSENBERG","77471",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"a27a84be-7bff-4742-be00-c5ada7247b25"
1439,"TX","Fort Bend (County)","SIMONTON","77476",13,13,13,0,0,0,7,10928.4,0,6818,4110.4,7,0,0,0,"af19c8ad-6fa7-483b-bc10-9ff7a33c29ce"
1439,"TX","Brazoria (County)","SWEENY","77480",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"c43d04c5-bf7b-4731-9eea-97c0fbaabd2b"
1439,"TX","Fort Bend (County)","MISSOURI CITY","77489",2,2,2,0,0,0,1,23695.21,0,2454,21241.21,0,1,0,0,"d0cb85b3-e708-4d9f-82d6-0910e898181a"
1439,"TX","Harris (County)","PASADENA","77505",1,1,1,0,0,0,1,747,0,747,0,1,0,0,0,"70d422a2-ae22-4fd4-93ce-612fb09db811"
1439,"TX","Harris (County)","PASADENA","77506",3,3,3,0,0,0,1,7724.58,0,2084,5640.58,1,0,0,0,"b8cd9fed-46c8-4d43-835a-763d897edc6e"
1439,"TX","Brazoria (County)","ALVIN","77511",2,2,2,0,0,0,2,9283.65,0,1444,7839.65,2,0,0,0,"db328165-eb04-4332-97a5-a18b8118f624"
1439,"TX","Brazoria (County)","ANGLETON","77515",2,2,2,0,0,0,1,4212.77,0,1444,2768.77,1,0,0,0,"0b6b4706-4948-4e96-9253-893a37db9c32"
1439,"TX","Hardin (County)","BATSON","77519",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"de53fd06-5e68-4286-9121-dc6ae8b5f8c0"
1439,"TX","Harris (County)","BAYTOWN","77521",1,1,1,0,0,0,1,3781.71,0,0,3781.71,1,0,0,0,"85ce9921-f61e-45da-b4ba-f9be57d9a350"
1439,"TX","Harris (County)","CHANNELVIEW","77530",4,3,4,0,0,0,2,9719.66,0,0,9719.66,2,0,0,0,"cb87b7b7-9213-43b4-8f0d-c8f1c71722b5"
1439,"TX","Brazoria (County)","CLUTE","77531",5,4,5,0,0,0,3,12831.38,0,1444,11387.38,3,0,0,0,"9826167b-7d0d-457a-bfd7-d3298b39b2cb"
1439,"TX","Harris (County)","CROSBY","77532",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"cc42440e-5eef-4368-8ec5-5a436af995d5"
1439,"TX","Liberty (County)","DAISETTA","77533",1,1,1,0,0,0,1,2044,0,1494,550,1,0,0,0,"05174e44-f003-4ace-a728-72ceaf12b538"
1439,"TX","Liberty (County)","DAYTON","77535",9,8,9,0,0,0,7,19266.76,0,8540,10726.76,7,0,0,0,"b9b1ce09-4670-4c6e-83da-304a8b4efd03"
1439,"TX","Liberty (County)","DEVERS","77538",1,1,1,0,0,0,1,1156,0,1156,0,1,0,0,0,"98436300-117a-4cbb-81b9-70f2936e8aaa"
1439,"TX","Brazoria (County)","FREEPORT","77541",13,13,13,0,0,0,5,8772.12,0,4044,4728.12,5,0,0,0,"d87f694b-2797-4d9d-8df7-f6f7a2b28a6d"
1439,"TX","Liberty (County)","HARDIN","77561",2,2,2,0,0,0,2,8473.86,0,1494,6979.86,2,0,0,0,"dd181752-cb3b-4c79-9160-4617fef9057d"
1439,"TX","Hardin (County)","HULL","77564",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"b1bcb464-a13f-4584-80af-b3ec68685abb"
1439,"TX","Liberty (County)","HULL","77564",9,8,9,0,0,0,7,23694.97,0,9696,13998.97,7,0,0,0,"d79ca9e7-ef0c-4a91-8fe7-6dd215b6c85e"
1439,"TX","Brazoria (County)","LAKE JACKSON","77566",5,5,5,0,0,0,2,3395.17,0,0,3395.17,2,0,0,0,"e1f7a9b7-624a-4dd8-9cd5-c2d03057a951"
1439,"TX","Harris (County)","LA PORTE","77571",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"43d85f74-29b4-4457-8a4c-688020b2c451"
1439,"TX","Liberty (County)","LIBERTY","77575",6,6,6,0,0,0,5,10001.4,0,8682,1319.4,5,0,0,0,"69cd581c-f7c2-4806-bf66-a8150a67f217"
1439,"TX","Brazoria (County)","ROSHARON","77583",1,1,1,0,0,0,1,1290.75,0,0,1290.75,1,0,0,0,"fb2c5066-41ea-421f-9727-e41458814699"
1439,"TX","Hardin (County)","SARATOGA","77585",1,1,1,0,0,0,1,1020,0,1020,0,1,0,0,0,"5bec3142-c1b9-481e-8e18-5c847b0fd374"
1439,"TX","Harris (County)","SOUTH HOUSTON","77587",1,1,1,0,0,0,1,1291.29,0,0,1291.29,1,0,0,0,"a3a2932b-a3a8-437c-be04-aec4cf112e1e"
1439,"TX","Orange (County)","BRIDGE CITY","77611",1,1,1,0,0,0,1,1020,0,1020,0,1,0,0,0,"d3c65c32-e026-4d10-9dcc-58e6afeb7826"
1439,"TX","Jasper (County)","BUNA","77612",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"63d6035f-5a97-4fa2-8089-fcbc678092a7"
1439,"TX","Jefferson (County)","CHINA","77613",3,3,3,0,0,0,1,1350,0,1350,0,1,0,0,0,"e1dfe144-ab32-459f-b256-ec809109c826"
1439,"TX","Jefferson (County)","GROVES","77619",4,4,4,0,0,0,4,12685.34,0,2514,10171.34,4,0,0,0,"04947b48-e70c-4782-8fa3-a2328acf3ebd"
1439,"TX","Jefferson (County)","HAMSHIRE","77622",2,2,2,0,0,0,2,2873.04,0,0,2873.04,2,0,0,0,"eeaf207b-8e14-4a0b-a9f1-a7e59313aba7"
